radlex_code,preferred_description
RID5904,ruptured
RID5908,serpentine
RID39509,pelvic girdle
RID33338,abdominal part of peritoneal cavity
RID23143,c4 branch to left levator scapulae
RID15981,nerve to left latissimus dorsi (2)
RID47757,suprascapular nerve component of trunk of anterior ramus of left sixth cervical nerve
RID32539,obturator lymphatic vessel
RID35324,keyboard sign
RID35103,concentric ring sign
RID20889,interfascicular nucleus
RID36246,meningeal branch of cavernous part of right internal carotid artery
RID24360,t1 branch to right semispinalis cervicis
RID47527,posterior cord segment of C8 root of thoracodorsal nerve
RID30813,germinal epithelium of left ovary
RID47413,segment of C5 root of inferior subscapular nerve
RID34733,holoprosencephaly sequence
RID45735,lesion transition zone
RID34358,abrupt interface
RID10788,elliptical filter
RID35842,segment of aorta
RID22030,trunk of nerve to left scalenus medius
RID16263,set of nerves
RID35151,disk kidney
RID29857,female chest wall
RID42722,styloid process of right radius
RID17784,t7 segment of right lateral corticospinal tract
RID902,rami perforantes
RID21363,trunk of left anterior deep temporal nerve
RID9432,tympanic ring
RID9430,tubal glands of eustachian tube
RID9433,external auditory canal opening
RID9437,tympanic sulcus
RID9431,tympanic part of temporal bone
RID9435,greater tympanic spine
RID9438,tympanic notch
RID9436,lesser tympanic spine
RID9439,sheath of styloid process
RID26566,right hippocampus
RID34665,gynecomastia
RID879,thoracic aorta
RID28940,subsegmental lymph node of right lung
RID22521,trunk of lateral proper plantar digital nerve of left little toe
RID16243,set of efferent nerve fibers
RID32484,left eleventh thoracic rotator
RID13619,brodmann area 7 of right cuneus
RID43745,nerve to midcarpal joint
RID38462,posterior radicular branch of spinal branch of lumbar artery
RID43681,Stenvers view
RID49384,articular cartilage of proximal epiphysis of right femur
RID36084,right superior nasal retinal vein
RID34094,medulla of left hemisphere of cerebellum
RID44504,posterior zone of medial angle of right scapula
RID39682,right olecranon
RID11745,Tc-99m Pyrophosphate
RID46662,anterior region of medial condyle of left tibia
RID47106,proximal segment of C7 root of median nerve
RID598,dorsal meningeal artery
RID5983,submucosa
RID5981,roof
RID5982,septae
RID5980,rim
RID5987,wall
RID5988,cortex
RID5989,medulla
RID5985,undersurface
RID5986,tumor vascularity
RID30902,loose connective tissue of intercalated duct of pancreas
RID34554,viscerocranial mucosal fold
RID43464,lumen of region of prostatic urethra
RID15101,deep branch of left ulnar nerve
RID24625,c3 branch to left splenius cervicis
RID49596,manometry
RID46969,radial nerve component of trunk of posterior division of anterior ramus of right seventh cervical nerve
RID48510,space of anterior compartment of right thigh
RID35497,ring sign of colon
RID18407,peripheral part of sympathetic nervous system
RID36854,internal granular layer of left Brodmann area 4
RID20080,medial branch of superior cervical ganglion
RID17980,medulla segment of posterior spinocerebellar tract
RID46422,c5 ventral column nucleus of left median nerve
RID26216,brodmann area 37 of left inferior temporal gyrus
RID44597,distal zone of clavicular part of left deltoid
RID49315,patellar groove of trochlea of femur
RID38815,black
RID19204,lateral sural cutaneous nerve
RID31896,epithelium of main pancreatic duct
RID33739,mucosa of right intermediate major calyx
RID27849,anterior meningeal branch of left posterior ethmoidal nerve
RID44967,deltoid branch of thoraco-acromial artery
RID22445,trunk of abductor hallucis branch of right medial plantar nerve
RID22255,trunk of muscular branch of left obturator nerve
RID47244,median nerve component of trunk proper of anterior ramus of left eighth cervical nerve
RID14886,cutaneous branch to scalp behind left auricle
RID23267,anterior cutaneous branch of seventh intercostal nerve
RID868,palmar metacarpal artery
RID45109,left median artery
RID11112,intrabursal
RID42778,proximal metaphysis of left first metacarpal bone
RID22234,trunk of left obturator nerve
RID40941,right interosseous intercarpal ligament
RID19091,rootlet of eighth cervical nerve
RID18709,posterior root of spinal nerve
RID37603,plexiform layer of Brodmann area 44
RID48138,zone of cartilage organ
RID49852,concommitance descriptor
RID32405,left tenth thoracic intertransversarius
RID26354,brodmann area 47 of left paraterminal gyrus
RID17690,left longitudinal pontine tract
RID10480,Bruce protocol exercise
RID32824,lumen of lobular duct of pancreas
RID12059,set of posterior superior lateral nasal branches of maxillary nerve
RID16898,posterior branch of medial femoral cutaneous nerve
RID36661,anteromedian medullary vein
RID42297,oblique head of right adductor hallucis
RID23564,muscular branch of subcostal nerve
RID23887,gray communicating ramus of right fifth sacral nerve
RID50159,8 views
RID29092,sternal end of clavicle
RID17034,lenticulothalamic part of left internal capsule
RID18486,caudal part of right ventral lateral nucleus
RID10464,patient maneuver
RID43239,distal zone of coracobrachialis
RID15677,gray matter of pontine tegmentum
RID34329,rapid
RID44745,middle temporal branch of left lateral occipital artery
RID2200,hook of hamate
RID2202,wrist joint
RID2208,synovium of distal radioulnar joint
RID2207,radial articular cartilage of ulnar head
RID2205,articular capsule of distal radioulnar joint
RID2209,capsule of distal radioulnar joint
RID2206,articular cartilage of sigmoid notch of radius
RID2203,distal radioulnar joint
RID21329,trunk of mandibular nerve
RID17680,internal genu of right facial nerve
RID16461,set of rootlets of thoracic nerve
RID21152,left intermediomedial nucleus
RID19051,posterior rootlet of first sacral nerve
RID40268,muscle body of flexor digitorum profundus
RID44648,branch of posterior spinal artery
RID6022,2 o’clock position
RID602,artery of foramen rotundum
RID6024,4 o’clock position
RID6025,5 o’clock position
RID6029,9 o’clock position
RID6028,8 o’clock position
RID6021,1 o’clock position
RID6020,clock face position
RID6026,6 o’clock position
RID6023,3 o’clock position
RID6027,7 o’clock position
RID46181,tendon of short head of biceps femoris
RID29840,trunk proper
RID20631,right lateral habenular nucleus
RID31050,posterior surface of descending part of duodenum
RID31885,internal surface of abdominal part of ureter
RID23329,collateral branch of left first intercostal nerve
RID30726,hepatopancreatic fold
RID834,anterior intercostal branch of musculophrenic artery
RID29176,process of organ
RID49480,category 1 actionable finding
RID40223,muscle body of left rhomboid minor
RID27410,c7 segment of left ventral gray column of spinal cord
RID37993,right renal vein
RID41226,tendon of left flexor hallucis longus
RID531,first posterolateral branch of circumflex artery
RID5313,hemolytic uremic syndrome
RID5311,acute tubular necrosis
RID5317,chronic obstructive pulmonary disease
RID5312,interstitial nephritis
RID5310,proteinuria
RID5315,reflux nephropathy
RID5316,respiratory disorder
RID5319,adult respiratory distress syndrome
RID24376,t2 branch to right semispinalis cervicis
RID44342,postganglionic segment of posterior root of right eleventh thoracic spinal nerve
RID35618,tau sign
RID21720,trunk of branch of left recurrent laryngeal nerve to left transverse arytenoid
RID37248,external pyramidal layer of Brodmann area 25
RID29670,midgut
RID43450,lumen of segment of male urethra
RID45157,superficial palmar branch of left radial artery
RID31620,mesothelium of serosa of transverse colon
RID50090,10 degree cephalic angle view
RID41519,tendon of flexor digitorum superficialis to middle finger
RID14094,ventral part of left postcentral gyrus
RID35517,sawtooth ureter
RID49568,uptake
RID42780,proximal metaphysis of right second metacarpal bone
RID22321,trunk of labium majus branch of left posterior labial nerve
RID35300,incomplete fissure sign
RID36457,right polar temporal artery
RID44804,seventh anterior intercostal artery
RID49539,set of cervical arteries
RID17323,left medial pes lemniscus
RID10465,augmentation maneuver
RID49676,suspicious calcification
RID21361,trunk of anterior deep temporal nerve
RID30477,inferior margin of neck of pancreas
RID47659,medial antebrachial cutaneous nerve component of inferior trunk segment of right first thoracic nerve
RID37801,left posterior temporal diploic vein
RID17221,white matter of left uncus
RID12953,distal embolization
RID30276,muscle layer of colon
RID30623,serosa of right hemiliver
RID26744,cortex of left side of tuber of vermis of cerebellum
RID20714,left ventral oculomotor nucleus
RID49190,posterior zone of apex of patella
RID36856,internal pyramidal layer of right Brodmann area 4
RID44742,anterior temporal branch of left lateral occipital artery
RID29694,right hepatic lymphatic chain
RID28768,imaging without IV contrast
RID21348,trunk of branch of right mandibular nerve to tensor tympani
RID19341,neuroglial network of T9 segment of spinal cord
RID48980,meniscotibial ligament
RID16371,set of superior labial branches of infra-orbital nerve
RID468,abdominal quadrant
RID4680,type 1 occipital condyle fracture
RID4685,Salter-Harris type I fracture
RID4687,Salter-Harris type III fracture
RID4684,Salter-Harris fracture
RID4686,Salter-Harris type II fracture
RID4681,type 2 occipital condyle fracture
RID4682,type 3 occipital condyle fracture
RID4689,Salter-Harris type V fracture
RID4683,pathologic fracture
RID4688,Salter-Harris type IV fracture
RID44603,distal zone of spinal part of left deltoid
RID33913,right middle cingulate gyrus
RID36226,cavernous branch of left internal carotid artery to left trigeminal ganglion
RID45531,c8 root of medial pectoral nerve
RID44962,sternoclavicular joint branch of left superior thoracic artery
RID29719,colic lymphatic chain
RID39165,average value calculated
RID32731,middle muscle layer of organ region
RID17693,left transverse pontine tract
RID11512,residual disease
RID48865,nail bed proper of left little toe
RID27245,t11 segment of right dorsal thoracic nucleus
RID23720,l4 root of left obturator nerve
RID24844,t8 branch to iliocostalis lumborum
RID40514,belly of right biceps femoris
RID841,pharyngeal branch of inferior thyroid artery
RID41534,proximal tendon of left flexor digitorum profundus
RID34042,c8 segment of anterior corticospinal tract
RID22310,trunk of left perineal nerve
RID45954,PatientDidNotArrive
RID45979,PatientWait
RID26273,brodmann area 39 of left inferior parietal lobule
RID28051,dura mater of anterior root of left first cervical nerve
RID23056,meningeal branch of right fifth sacral nerve
RID35396,negative pyelogram
RID26963,s2 segment of right substantia gelatinosa
RID41981,surface of proximal epiphysis of left humerus
RID15924,neural tissue of left trochlear nerve
RID31451,lamina propria of biliary tree
RID30879,submucosa of body of stomach
RID24771,t3 branch to right iliocostalis thoracis
RID1645,hepatic trisegmentectomy
RID164,anus
RID1649,transplantation
RID1641,hepatectomy
RID1647,chemoembolization
RID1646,hepatic wedge excision
RID1640,liver surgery
RID1644,hepatic subsegmentectomy
RID1643,hepatic segmentectomy
RID1642,hepatic lobectomy
RID29709,intermediate mesenteric lymphatic chain
RID30882,submucosa of pylorus
RID21042,caudal part of spinal nucleus of right trigeminal nerve
RID18524,ventral part of lateral parabrachial nucleus
RID41413,tendon of right tensor tympani
RID42102,superior surface of neck of left scapula
RID26644,anterior segment of right parahippocampal gyrus
RID13240,zone of parietal bone
RID17302,white matter of right ansiform lobule of cerebellum
RID19454,neuronal component of lumbar segment of spinal cord
RID38831,fibromuscular part of zone of prostate
RID14892,anterior branch of great auricular nerve
RID40817,belly of part of deltoid
RID40465,muscle body of left serratus anterior muscle
RID44975,clavicular branch of left thoraco-acromial artery
RID44879,infraspinatus muscle branch of left suprascapular artery
RID30027,urogenital part of perineum
RID859,radicular arterial branch of costocervical trunk
RID45139,right radial recurrent artery
RID31645,superior surface of urinary bladder
RID11641,superparamagnetic iron oxide
RID17105,white matter of right transverse temporal gyrus
RID49854,without
RID49432,lateral subtendinous bursa of left gastrocnemius
RID19617,fasciculus of brain
RID14598,communicating branch of sensory root of right facial nerve with right tympanic plexus
RID14145,left side of brainstem
RID48794,dorsal nail matrix of left third toe
RID45934,RoomAssigned
RID19874,eleventh thoracic ganglion
RID42119,tendinous cuff
RID25884,right Brodmann area 39
RID29881,pectoral part of chest
RID23758,s1 root of posterior division of right sacral plexus
RID20165,medial branch of eighth thoracic ganglion
RID44048,peripheral segment of left fourth cervical spinal nerve
RID30127,surface of small intestine
RID50012,region of surface of thyroid cartilage
RID23215,c8 branch to left scalenus medius
RID44703,right cochlear artery proper
RID38637,glossoepiglottic fold
RID34257,fine pleomorphic calcification
RID27790,roof of fourth ventricle
RID24443,t6 branch to right multifidus
RID18426,head of right caudate nucleus
RID11749,Tc-99m sestamibi
RID20358,gray matter of right lingual gyrus
RID18525,subdivision of red nucleus
RID14150,superior branch of left oculomotor nerve
RID22993,meningeal branch of second thoracic nerve
RID26211,brodmann area 36 of uncus
RID19934,right submandibular ganglion
RID21307,surface of L2 segment
RID33507,left ureteral fold
RID5465,stapes prostheses
RID5469,artificial disk
RID5460,ossicle prosthesis
RID5461,total ossicular replacement
RID5468,vertebral body cage
RID5467,spinal fixation device
RID5463,partial ossicular replacement
RID5466,spinal implant
RID50082,right bending maneuver
RID46434,t1 ventral column nucleus of left median nerve
RID48782,deep layer of proximal nail fold of little toe
RID33367,adventitia of inferior major calyx
RID40544,common belly of left digastric
RID23863,gray communicating ramus of left second lumbar nerve
RID32402,thoracic intertransversarius
RID26953,l5 segment of right substantia gelatinosa
RID16302,set of lateral supraclavicular nerves
RID21609,trunk of vagal branch to right tympanic membrane
RID45788,inlet view
RID46875,axillary nerve component of posterior root of left fifth cervical nerve
RID40611,belly of fourth lumbrical of left hand
RID45487,c5 root of lateral pectoral nerve
RID13539,segment of Brodmann area 5
RID43773,branch of median nerve to first lumbrical of hand
RID33845,sulcal segment of anterior transverse gyrus
RID23778,s2 root of left pudendal nerve
RID36730,external granular layer of left parietal lobe
RID23539,muscular branch of eleventh intercostal nerve
RID29606,vasculature of body part subdivision
RID30367,stroma of caudate lobe of liver
RID26435,intralaminar part of intraocular part of right optic nerve
RID43219,distal region of left subscapularis
RID33960,purkinje cell layer of cortex of flocculonodular lobe of cerebellum
RID46098,trunk of posterior division of anterior ramus of right fifth cervical nerve
RID30392,sphincter of pancreatic duct
RID33876,sulcal segment of right first short insular gyrus
RID16209,set of occipitopontine fibers
RID40580,second belly of flexor digitorum brevis
RID22011,trunk of nerve to longus capitis
RID12224,cranial root of accessory nerve
RID27869,branch of right mylohyoid nerve to anterior belly of right digastric
RID41719,intermediate tendon
RID46598,belly of vastus intermedius
RID19974,nerve to left sternothyroid
RID26746,lacunar-molecular layer of right hippocampus proper
RID45187,trunk of right subscapular artery
RID31897,epithelium of accessory pancreatic duct
RID45555,root of lateral femoral cutaneous nerve
RID37250,external pyramidal layer of left Brodmann area 25
RID24517,t12 branch to multifidus
RID25455,nerve to second lateral lumbar intertransversarius
RID34230,"inferior temporal gyrus, posterior division (T3p)"
RID34819,adrenal vein
RID27349,l2 segment of right dorsal gray column of spinal cord
RID36479,posterior temporal branch of left middle cerebral artery
RID37358,plexiform layer of left Brodmann area 31
RID611,vascular circle of optic nerve
RID6113,physis
RID6111,trochlea of bone
RID6118,facet
RID6115,medullary cavity
RID6110,Gruen zone
RID6117,metaphysis
RID6119,articular facet
RID41630,tendon of left extensor pollicis longus
RID24980,transverse branch of meningeal branch of left third lumbar nerve
RID48182,right popliteal fossa
RID16755,neural network of left transition lobe of prostate
RID45461,c5 root of radial nerve
RID38802,enzyme
RID26447,thoracic part of trunk of right vagus nerve
RID26839,gray matter of caudal part of anterior cingulate gyrus
RID28953,cardiac acquisition
RID19029,posterior rootlet of right eleventh thoracic nerve
RID12076,zygomaticofacial branch of zygomatic nerve
RID49234,area of origin of short head of biceps femoris
RID43277,interlobular septum
RID30188,surface of subdivision of principal body part
RID30950,areolar connective tissue of wall of pancreatic duct
RID11509,secondary patency
RID13744,cerebellum segment of dura mater
RID17792,t10 segment of lateral corticospinal tract
RID15449,medial calcaneal branch of right tibial nerve
RID43342,delayed phase hypoenhancement
RID44928,rhomboid occipitalis branch of right dorsal scapular artery
RID25286,anterior branch of lateral cutaneous branch of left fifth intercostal nerve
RID22974,meningeal branch of fourth cervical nerve
RID31630,mesothelium of visceral peritoneum of lesser sac
RID32144,mucosal fold of right uterine tube proper
RID42359,head of left flexor digitorum accessorius
RID50606,imaging specialty
RID21309,surface of L4 segment
RID24080,articular branch of posterior ramus of tenth thoracic nerve
RID48883,lateral nail fold of big toe
RID42389,ulnar head of pronator teres
RID30033,preputial sac
RID11241,respiratory triggering
RID49034,articular cartilage of lateral condyle of right tibia
RID47022,peripheral segment of lateral root of median nerve
RID15391,nerve to right gastrocnemius
RID17838,left dorsal spinocerebellar tract of spinal cord
RID28643,axillary tail
RID41692,tendon of fourth dorsal interosseous of left hand
RID11255,marker error
RID44040,peripheral segment of second cervical spinal nerve
RID35861,zone of ascending aorta
RID47351,ulnar nerve component of trunk of anterior ramus of eighth cervical nerve
RID41568,tendon of flexor digitorum brevis
RID37855,brodmann area 47 of left frontal lobe
RID18467,paralaminar part of medial dorsal nucleus
RID27083,s4 segment of marginal zone of left dorsal gray column of spinal cord
RID34608,pulmonary alveolar microlithiasis
RID5934,cyclic flow reversal
RID593,cavernous branch of internal carotid artery
RID5937,flow velocity elevated
RID5939,flow velocity reduced
RID5932,turbulent flow
RID5930,uniphasic flow
RID5931,laminar flow
RID5936,retrograde flow
RID5935,regurgitant flow
RID5938,jet flow
RID5933,reversed flow
RID35502,rosary bead esophagus sign
RID38314,precentral branch of right second lumbar artery
RID18731,posterior root of fourth thoracic nerve
RID49747,ligation
RID38851,left dorsal lobe of prostate
RID39874,distal epiphysis proper of right tibia
RID21472,trunk of zygomatic branch of left facial nerve
RID40137,right nfraspinous fossa
RID871,superficial palmar arch
RID27384,left ventral gray column of spinal cord
RID38357,postlaminar branch of dorsal branch of right third lumbar artery
RID43511,vasculature of anatomical cluster
RID40173,posterior zone of body of left scapula
RID30430,wall of inferior major calyx
RID37996,subdivision of inferior pancreaticoduodenal artery
RID26645,anterior segment of left parahippocampal gyrus
RID37561,multiform layer of Brodmann area 41
RID39850,distal epiphysis of distal phalanx of little finger
RID47608,superior subscapular nerve component of posterior root of sixth cervical nerve
RID27091,right nucleus proprius dorsalis
RID26565,left hippocampus proper
RID17811,l3 segment of lateral corticospinal tract
RID5396,cartilage disorder
RID539,atrioventricular branch of circumflex artery
RID5399,chondrolysis
RID5391,osteomalacia
RID5393,joint disorder
RID5397,cartilage defect
RID5395,ankylosis
RID5390,transient osteoporosis
RID5392,osteopetrosis
RID5398,chondrocalcinosis
RID21800,trunk of meningeal branch of right hypoglossal nerve to anterior wall of posterior cranial fossa
RID20787,right parvicellular reticular nucleus
RID45801,workers' compensation-related imaging
RID31173,visceral peritoneum
RID10955,converging collimator
RID33721,mucosa of left ureter proper
RID25312,posterior branch of lateral cutaneous branch of fourth intercostal nerve
RID45713,set of pancreatic ducts
RID32256,right splenius cervicis
RID41504,distal tendon of palmaris longus
RID46993,inferior posterior division segment of C8 root of radial nerve
RID20767,left cuneate nucleus
RID31226,region of mesentery of small intestine
RID39466,liver mass
RID36275,left superior macular artery
RID11360,digitization-error artifact
RID40469,right transverse process of atlas
RID16289,set of superior gingival nerves
RID41857,diaphysis of proximal phalanx of left little finger
RID42487,diaphysis proper of left ulna
RID26310,brodmann area 42 of superior temporal gyrus
RID44986,pectoralis major muscle branch of lateral thoracic artery
RID33429,middle part of left kidney
RID27251,dorsal thoracic nucleus of lumbar segment of right dorsal gray column of spinal cord
RID11714,I-125 human serum albumin
RID23506,branch of right ninth intercostal nerve to right internal oblique
RID26756,granular layer of right dentate gyrus
RID45069,biceps branch of brachial artery
RID26055,brodmann area 19 of occipital segment of right fusiform gyrus
RID25653,nerve to left psoas minor
RID32421,right third medial lumbar intertransversarius
RID46963,posterior cord segment of C7 root of right radial nerve
RID1752,nephropexy
RID175,tail of pancreas
RID1754,cryoablation
RID1758,ureterostomy
RID1759,ureterocalycostomy
RID1755,adrenal surgery
RID1751,nephroureterectomy
RID1753,nephrolitholapaxy
RID1750,percutaneous nephrostolithotomy
RID1757,ureter surgery
RID1756,adrenalectomy
RID31841,cribriform area of medulla of left kidney
RID16397,set of pulmonary branches of thoracic ganglia
RID29439,muscle layer of subdivision of inferior minor calyx
RID48284,central region of intercondylar eminence of right tibia
RID33352,adventitia of abdominal part of left ureter
RID25675,nerve proper to left obturator internus
RID49379,left tibia
RID48044,inferior anterior division segment of eighth cervical nerve
RID32431,right first lateral lumbar intertransversarius
RID21413,trunk of mental branch of mental nerve
RID34876,tibiofibular joint
RID42698,posterosuperior zone of left glenoid labrum
RID48009,lateral cord segment of right fifth cervical nerve
RID32618,retrocecal lymphatic vessel
RID17936,t1 segment of left posterior spinocerebellar tract
RID36880,lamina of Brodmann area 6
RID26305,brodmann area 41 of right insula
RID45882,IRProcedureStart
RID789,anterior spinal artery
RID7898,outer annulus fiber of intervertebral disk
RID7890,intervertebral disk
RID7895,endplate of intervertebral disk
RID44957,pectoralis major branch of superior thoracic artery
RID13372,neural tree organ
RID35092,cocktail sausage sign
RID46550,t1 nucleus of left dorsal column for medial cutaneous nerve of left forearm
RID46713,lateral pectoral nerve component of superior trunk segment of sixth cervical nerve
RID32380,posterior cervical intertransversarius
RID32701,internal surface of isthmus of left uterine tube
RID48541,lateral patellar segment of tendon of left vastus lateralis
RID24375,t2 branch to semispinalis cervicis
RID43011,segment of inferior glenohumeral ligament
RID10543,beam-shaping filter
RID49093,distal zone of left gastrocnemius
RID22828,subcostal nerve
RID39410,function descriptor
RID22146,trunk of communicating branch of right iliohypogastric nerve with subcostal nerve
RID34991,abdominal fat necrosis sign
RID20137,interganglionic branch of variant vertebral ganglion
RID40542,common belly of digastric
RID41258,tendon of flexor digiti minimi brevis of left foot
RID26384,rostrotemporal auditory area
RID21924,trunk of right fifth sacral nerve
RID10218,lateral semicircular canal
RID18843,root of seventh thoracic nerve
RID16341,set of muscular branches of perineal nerves
RID47406,medial cord segment of ulnar nerve
RID48496,articular cartilage of right femoral trochlea
RID22019,trunk of nerve to sternocleidomastoid
RID35274,hilum convergence sign
RID30839,ostium of cystic duct
RID27311,t3 segment of dorsal gray column of spinal cord
RID12322,dual source
RID41059,proximal tendon of right pectoralis major
RID32097,paracolic lymph node of transverse colon
RID35933,branch of anterior superior alveolar artery
RID11311,hyperglycemia artifact
RID48962,left arcuate popliteal ligament
RID27490,s5 segment of right ventral gray column of spinal cord
RID15318,vaginal branch of left inferior rectal nerve
RID23734,white communicating ramus of right first lumbar nerve
RID14587,communicating branch of sensory root of left facial nerve with left vagus nerve
RID20037,pectoralis minor branch of left medial pectoral nerve (2)
RID23575,branch of right subcostal nerve to right rectus abdominis
RID16559,neural network of faucial part of mouth
RID14872,nerve to left transverse muscle of tongue
RID25111,descending branch of meningeal branch of left second thoracic nerve
RID31004,internal surface of right lateral wall of urinary bladder
RID18051,right semioval center
RID49317,patellar groove of trochlea of left femur
RID25672,nerve to left gemellus superior
RID22344,trunk of levator ani muscle branch of perineal nerve
RID26517,pole of right insula
RID37872,dorsal tributary of fourth lumbar vein
RID15900,neural tissue of T8 segment of spinal cord
RID28366,dura mater of posterior rootlet of right second thoracic nerve
RID19043,posterior rootlet of right third lumbar nerve
RID21611,trunk of communicating branch of vagus nerve with glossopharyngeal nerve
RID26375,core auditory cortex
RID33364,adventitia of intermediate major calyx
RID30820,submucosa of posterior wall of duodenum
RID23357,collateral branch of eleventh intercostal nerve
RID27473,sacral segment of ventral gray column of spinal cord
RID17682,descending tract of facial nerve
RID36462,left posterior temporal artery
RID47464,inferior subscapular nerve component of anterior root of right sixth cervical nerve
RID43759,lateral common palmar digital branch of right median nerve
RID41887,diaphysis of phalanx of foot
RID49579,transhepatic
RID44142,infraclavicular part of right brachial nerve plexus
RID3019,tibiospring ligament
RID3014,deep deltoid ligament of ankle
RID301,ovarian ligament
RID3016,posterior tibiotalar ligament
RID3012,deltoid ligament of ankle
RID3015,anterior tibiotalar ligament
RID3011,ligament of ankle joint
RID3018,tibiocalcaneal ligament
RID3017,superficial deltoid ligament of ankle
RID3010,articular cartilage of talar dome
RID35603,swirl sign
RID49360,left knee
RID34297,set of BI-RADS MRI terms
RID21209,nucleus of origin of ninth thoracic spinal nerve
RID22848,anterior ramus of first sacral nerve
RID831,perforating branch of internal thoracic artery
RID28684,fluid-attenuated
RID41676,tendon of third lumbrical of left foot
RID44233,preganglionic segment of posterior root of left seventh thoracic spinal nerve
RID49975,lower extremity artery
RID12789,line profile curve
RID40600,belly of first lumbrical of hand
RID49949,atypical lobular hyperplasia
RID18797,posterior root of right coccygeal nerve
RID36919,plexiform layer of Brodmann area 8
RID36729,external granular layer of right parietal lobe
RID10962,nuclear camera
RID27107,c4 segment of nucleus proprius of spinal cord
RID273,clitoris
RID2733,semitendinosus tendon of distal thigh
RID2730,proximal tendinous origin of semimembranosus muscle
RID2734,biceps femoris tendon of distal thigh
RID2739,femoral triangle
RID2736,fossa ovalis
RID2732,semimembranosus tendon of distal thigh
RID2731,gracilis tendon of distal thigh
RID2735,space of thigh
RID41930,diaphysis of middle phalanx of little toe
RID28869,appendicular lymph node
RID18881,root of sacral nerve
RID36343,diploic branch of right supra-orbital artery
RID20700,ventral tegmental area
RID28355,dura mater of posterior rootlet of seventh cervical nerve
RID18982,anterior rootlet of right fifth sacral nerve
RID45640,wall motion
RID20845,lateral superior olivary nucleus
RID27344,lumbar subsegment of dorsal gray column of spinal cord
RID23606,pleural branch of right ninth intercostal nerve
RID49158,anterior zone of base of patella
RID47314,inferior anterior division segment of left median nerve
RID20362,gray matter of left inferior occipital gyrus
RID24100,medial branch of posterior ramus of fourth lumbar nerve
RID24183,cutaneous branch of medial branch of posterior ramus of fifth cervical nerve
RID47762,suprascapular nerve component of trunk of right sixth cervical nerve
RID40445,muscle body of right extensor digitorum longus
RID25671,nerve to right gemellus superior
RID39552,third trimester
RID34130,right retrocommissural hippocampus
RID30352,set of medullary rays of kidney
RID44004,right thoracoepigastric vein
RID25920,brodmann area 2 of left postcentral gyrus
RID41101,tendon of left teres minor
RID44627,radicular branch of right vertebral artery
RID30090,duodenal papilla
RID39329,artery of penis
RID31533,subserosa of proximal part of ileum
RID41530,tendon of left flexor pollicis brevis
RID44139,supraclavicular part of right brachial nerve plexus
RID38271,quadrate lobe branch of left portal vein
RID17998,stria of neocortex
RID47043,median nerve component of trunk proper of anterior ramus of left fifth cervical nerve
RID14200,cutaneous branch of left supratrochlear nerve to left upper eyelid
RID11982,roentgenium
RID44678,superior vermian branch of medial branch of right superior cerebellar artery
RID49335,right medial patellar retinaculum
RID27197,s5 segment of nucleus proprius of spinal cord
RID25754,l4 segment
RID17841,left ventral spinocerebellar tract of spinal cord
RID32129,medial external iliac lymph node
RID40269,muscle body of right flexor digitorum profundus
RID42599,posterior surface of left scalenus medius
RID23528,branch of right tenth intercostal nerve to right external oblique
RID2025,synovial fold at superior margin of lateral olecranon recess
RID202,set of spiral valves of Heister
RID2029,humeroulnar joint
RID2020,radiocapitellar meniscus
RID2027,synovial fold in medial olecranon recess
RID15446,right interosseous nerve of leg
RID24509,t11 branch to left multifidus
RID26335,brodmann area 45 of right inferior frontal gyrus
RID18921,anterior rootlet of left second thoracic nerve
RID10518,caudocranial projection
RID25049,ascending branch of meningeal branch of right sixth thoracic nerve
RID40092,bone proper of glenoid cavity
RID46715,lateral pectoral nerve component of superior trunk segment of left sixth cervical nerve
RID48234,left gracilis
RID44176,posterior rootlet of right fifth cervical nerve
RID22428,trunk of popliteus branch of left tibial nerve
RID45060,right superior ulnar collateral artery
RID29367,ureteral orifice
RID48359,proximal tendon of tibialis anterior
RID14706,branch of external laryngeal nerve to inferior pharyngeal constrictor
RID10296,scala tympani
RID19072,rootlet of left first cervical nerve
RID20935,limitans nucleus
RID25814,right Brodmann area 4
RID20971,right intercalated amygdaloid nucleus
RID17586,lateral tectobulbar tract
RID16634,neural network of right female breast
RID24907,branch of meningeal branch of spinal nerve
RID14671,vagal branch to posterior wall of right external acoustic meatus
RID41351,tendon of left semispinalis thoracis
RID21030,principal sensory nucleus of trigeminal nerve
RID20810,nucleus raphe obscurus
RID47208,median nerve component of of dorsal root of right C6 nerve
RID17174,white matter of long insular gyrus
RID20695,left ventral tegmental nucleus
RID44094,peripheral segment of left eleventh thoracic spinal nerve
RID49506,abuts pseudocapsule of prostate
RID22464,trunk of superficial branch of lateral plantar nerve
RID16322,set of dorsal digital nerves of foot
RID21769,trunk of lingual branch of left glossopharyngeal nerve to left vallate papillae
RID11653,kaolin-pectate
RID35511,salt and pepper skull
RID10024,postcricoid region of hypopharynx
RID45927,ReqLabsReviewed
RID45380,peripheral segment of right suprascapular nerve
RID41771,carotid triangle
RID13752,filum terminale segment of spinal dura mater
RID40686,belly of first dorsal interosseous of hand
RID23000,meningeal branch of right fourth thoracic nerve
RID36983,external pyramidal layer of right Brodmann area 11
RID48113,distal zone of iliotibial tract
RID21259,basal surface of right cerebral hemisphere
RID33997,region of gray matter of neuraxis
RID18782,posterior root of second sacral nerve
RID43127,right extensor pollicis longus
